ax,ay,az,gx,gy,gz,activity
-840,11200,-5792,-7091,-51,-5556,1
-908,11492,-6268,-6212,-790,-5747,1
-900,10272,-6828,-5861,-274,-6027,1
-244,10192,-7712,-5201,1569,-5112,1
-948,9284,-7552,-4534,2967,-5056,1
-1004,9984,-7444,-2453,4699,-5542,1
-1644,12120,-6484,-642,2211,-5990,1
-2664,13744,-5400,1525,-2019,-3233,1
-276,16108,-5404,1014,-2022,-3089,1
228,16572,-5888,-403,-143,-3803,1
0,14816,-6952,-628,1931,-1684,1
-472,13740,-7492,-444,3702,-2091,1
-2108,13164,-7744,-831,3597,-1970,1
-2696,12392,-7260,-900,2862,-1725,1
-3224,12872,-6764,-907,1993,-2477,1
-3076,13476,-6228,-1185,1453,-3446,1
-2872,14320,-5916,-1496,1029,-3965,1
-2216,14200,-6448,-1511,864,-3458,1
-2832,14784,-6428,-1849,407,-3101,1
-3260,14648,-5632,-2548,-333,-2611,1
-3192,14236,-5232,-3349,-943,-2151,1
-3208,13872,-5180,-4052,-1925,-1882,1
-3384,14460,-5748,-3871,-2976,-1044,1
-3508,14980,-7448,-3752,-2663,-1074,1
-4144,15836,-9048,-3310,-1784,-1931,1
-4732,18164,-10016,-2812,-607,-3565,1
-4968,19924,-10100,-2697,-143,-3741,1
-4148,19624,-8656,-2797,620,-1683,1
-3412,19560,-8364,-2181,649,281,1
-2640,20072,-7224,-1222,1358,1703,1
-1144,19640,-4984,-646,3343,2881,1
-708,16744,-3472,-71,6020,5107,1
-708,14536,-3940,1640,6849,7330,1
-1520,13724,-5024,3725,5248,8860,1
-1864,14460,-4948,7072,2081,11159,1
-1388,14776,-5464,10238,-1267,13830,1
-740,16292,-6304,12876,-4338,15710,1
1360,18032,-5780,12458,-4559,13789,1
1360,17124,-4300,11755,-3165,12944,1
2304,14328,-4632,11746,-3246,11313,1
592,13384,-5336,10455,-936,6366,1
92,10860,-6596,10520,-2921,2645,1
468,10292,-8676,12786,-3918,1745,1
1272,10380,-10732,15515,-5043,2204,1
2804,10296,-11032,17910,-4860,4765,1
4480,11372,-9380,17957,-2107,5675,1
3344,10016,-7800,15376,77,3066,1
2452,8312,-7576,13698,1671,659,1
2524,7220,-7812,11676,2641,349,1
2256,6840,-9272,9862,4134,291,1
2472,6092,-10204,7860,3943,-77,1
2384,6092,-10880,5811,4370,-540,1
2040,5752,-11184,3586,3145,-1211,1
2220,4896,-10440,1078,1850,-1343,1
1832,4532,-10056,-639,-232,-2339,1
3140,4496,-9760,-1858,-2378,-3558,1
4088,5668,-10700,-3295,-2523,-4329,1
3744,7128,-12476,-4593,-3362,-5460,1
3956,7992,-12840,-5456,-2951,-5598,1
6592,8120,-13604,-5349,-255,-1655,1
-724,9912,-17980,-259,-4923,-5516,1
3696,15036,-19220,-1230,-7972,-7067,1
7012,11308,-16744,-4981,-1343,-2151,1
3804,10612,-13352,-11927,2309,-4205,1
780,9436,-15116,-15432,819,-6450,1
656,15748,-18732,-13373,980,-5941,1
1980,14184,-14588,-8624,8864,-6072,1
-676,11364,-7184,-6452,9442,-5653,1
-1700,11044,-4864,-5980,7162,-6161,1
-2216,10964,-4632,-5527,3942,-6141,1
-3072,15764,-6420,-8154,1659,-6483,1
-2536,14992,-7412,-7153,-1069,-6520,1
716,13120,-6268,-5899,-2832,-4339,1
1112,12832,-4992,-6668,-2484,-4179,1
168,13132,-6596,-6422,-2520,-4987,1
-376,11776,-7400,-5719,-2684,-4680,1
204,9976,-7408,-4796,-325,-5298,1
-644,8456,-6812,-4140,1965,-3762,1
-1520,9892,-6888,-3156,2605,-4062,1
-1948,11844,-6556,-1723,1781,-4459,1
-2532,14444,-6848,591,-433,-3055,1
-1316,15296,-6060,874,-1009,-1974,1
-100,15400,-5732,147,-120,-1398,1
-308,14856,-6624,-1066,300,-2216,1
-1412,14584,-7424,-1380,1042,-2312,1
-2640,13020,-7540,-1369,1075,-2664,1
-3156,12764,-7000,-1162,465,-3117,1
-2480,13624,-5780,-952,-809,-2973,1
-1952,13908,-5272,-1381,-1194,-1978,1
-2128,13864,-5660,-1600,-2430,-406,1
-2456,13960,-6512,-2063,-2496,-218,1
-2840,13976,-8088,-2949,-1516,-1448,1
-3464,14864,-9432,-2502,-1328,-2962,1
-3612,16344,-9168,-1828,591,-1993,1
-5632,18792,-9364,-1563,463,-2228,1
-5080,19624,-9144,-1855,-528,-2435,1
-2376,19276,-8412,-1779,1387,-228,1
-1120,19256,-6624,-716,3425,3677,1
-1712,16240,-4640,614,5225,7161,1
-772,13292,-4556,2824,5196,10461,1
-1428,15312,-4240,5495,3925,11954,1
-2080,16660,-4824,7282,-328,13693,1
-576,16420,-7024,10077,-2282,14749,1
760,16088,-8080,9460,-1956,12729,1
8,12588,-7976,10607,-1956,7632,1
684,11928,-8844,14755,-4787,3665,1
1944,11872,-9712,15028,-4098,1292,1
1840,10252,-11460,17149,-2243,-841,1
1472,10248,-11096,19800,-2531,1434,1
3528,10444,-8700,17510,1945,816,1
2460,8528,-7000,13589,4216,-1546,1
2256,6232,-7040,10084,4907,-2619,1
1584,5664,-9340,7912,6606,-2350,1
912,5840,-10492,4208,4909,-2257,1
2208,5644,-10984,1035,3641,-2549,1
1716,5324,-9820,-1636,2345,-3003,1
1368,5628,-10588,-2309,-333,-4781,1
3292,6508,-10820,-2432,-2603,-5213,1
4244,7928,-11884,-3176,-1842,-5973,1
3352,8228,-12108,-5333,-1728,-6235,1
4332,8368,-12688,-8003,-881,-4505,1
4040,8720,-13604,-8332,976,-4815,1
-748,9216,-16080,-3989,-6109,-8367,1
2272,15168,-17604,-1499,-8598,-6159,1
4800,16296,-16008,-10768,-997,-4915,1
2192,10792,-16916,-14420,3864,-4152,1
976,15440,-18848,-13969,7183,-3767,1
2248,14396,-13116,-8957,15024,-1260,1
-1196,12452,-6016,-7468,11814,-2188,1
-2228,9792,-2372,-4020,3673,-4451,1
-2304,9972,-2216,-3119,-3028,-5061,1
-808,14560,-4780,-7385,-3236,-5124,1
-324,15272,-6900,-8433,-4141,-7083,1
692,14948,-7320,-7100,-5302,-6659,1
2128,13792,-6680,-6185,-3000,-5421,1
784,12536,-7464,-6463,388,-5056,1
-468,11188,-8224,-6284,1902,-5391,1
-924,8192,-8156,-5509,3393,-5415,1
-1888,8316,-6780,-3066,3281,-7165,1
-1784,10128,-5988,-1841,4204,-7156,1
-2812,13884,-6372,-2,2006,-6610,1
-1784,16216,-4772,520,-504,-4909,1
1128,16988,-3632,-2147,3372,-4100,1
-688,15116,-6464,-2127,2856,-2032,1
-2248,13804,-8464,-1425,1498,-2834,1
-2312,12352,-8440,-900,1129,-2068,1
-3036,12620,-6764,-511,1197,-2675,1
-3676,14508,-5316,-1666,-207,-2897,1
-3276,14944,-5048,-2532,-355,-1934,1
-3500,14348,-6396,-3070,-1023,-680,1
-3708,14608,-7084,-3078,-2192,-341,1
-4268,16040,-7960,-3720,-3016,-1214,1
-4564,18140,-9068,-3899,-2929,-2883,1
-3448,18904,-8608,-4027,-3070,-2700,1
-2692,19368,-8848,-3563,-2643,-744,1
-1596,19336,-9524,-813,-1755,1531,1
176,18620,-7360,2100,2157,4208,1
-12,17208,-3188,2259,5033,6230,1
-436,14904,-3904,1969,8410,5121,1
-1952,14116,-5412,4029,10740,5618,1
-2484,15360,-6200,6197,9233,8266,1
-2168,16008,-5908,10213,4667,13485,1
-1600,16588,-6084,13682,-2677,14266,1
-108,15924,-5376,16615,-7164,15006,1
544,13228,-5344,17907,-9519,11100,1
3968,12152,-7656,20913,-10727,10336,1
1912,12400,-6480,20996,-8523,5107,1
196,8120,-10304,21563,-5861,-887,1
1380,8156,-12340,20064,-6895,119,1
5472,6432,-10268,14821,933,799,1
4192,4504,-10352,9063,8062,-691,1
1744,3648,-9492,4168,10856,-2208,1
-568,2060,-10208,1256,8821,-3072,1
1708,1476,-12292,-79,3018,-2592,1
6812,3640,-10908,-765,7012,-206,1
3752,4840,-6660,-3869,9200,-355,1
2948,7332,-8632,-6857,4180,-5044,1
5644,9124,-13876,-2823,-6248,-35,1
4032,14428,-8804,-3933,-9737,-3869,1
916,12480,-17812,-7348,-13583,-7795,1
3656,13100,-20768,-13100,-12997,-6471,1
5580,11504,-22764,-14772,-3610,-5252,1
5076,11276,-21036,-12673,7482,-4526,1
1472,11904,-13560,-11658,17021,-5130,1
656,11864,-7676,-10130,14082,-5799,1
-1496,11504,-5252,-6086,9643,-7706,1
-2812,10572,-4396,-4727,4849,-9353,1
-3164,12908,-5064,-7257,1448,-9110,1
-1776,13768,-6072,-7504,-2248,-8193,1
1356,14124,-6588,-6726,-2758,-6519,1
1908,13200,-5952,-7515,-380,-5716,1
1200,12904,-7108,-7927,2413,-5933,1
504,11328,-8572,-8326,4597,-7593,1
-824,9384,-8276,-6611,5585,-7304,1
-508,7972,-7068,-3529,5825,-6561,1
-720,10936,-6344,-1784,6245,-5933,1
-2236,12884,-6100,-1011,3406,-6264,1
-2440,14684,-5348,-14,867,-6170,1
-344,15764,-4104,-797,-120,-4995,1
712,14868,-5932,-1919,1113,-3856,1
-508,13716,-7824,-1944,1829,-2626,1
-2012,12860,-7480,-1531,2279,-2184,1
-2996,13076,-5616,-914,294,-2127,1
-3628,14220,-5472,-1695,-1914,-2100,1
-2752,14212,-5748,-2199,-2549,-1361,1
-2628,14192,-6660,-2067,-3493,-1039,1
-2988,15540,-8620,-2893,-1978,-2228,1
-3868,16328,-8868,-2711,141,-3083,1
-5328,17804,-8856,-2442,-637,-2951,1
-4448,19876,-10628,-942,-2491,-1334,1
-2712,20664,-8848,195,-1570,2128,1
-1084,21156,-4536,532,733,4915,1
-672,18948,-2820,-1311,3897,6693,1
-1188,14072,-4668,379,3111,7758,1
-1300,13080,-5868,5055,40,7570,1
-716,13696,-6284,10183,-699,8771,1
1268,15284,-7592,12090,2554,8803,1
1200,15920,-7732,12955,4226,8462,1
968,16664,-5464,12570,2565,10386,1
720,15868,-3208,10496,818,6107,1
1320,12460,-5332,11166,-966,3471,1
968,11964,-7372,12435,-4490,5317,1
140,9016,-9572,17081,-7211,4862,1
1996,10120,-10584,19589,-8746,4549,1
4704,9948,-8408,17422,-3462,3346,1
3888,7596,-8024,13654,579,-773,1
3880,5972,-9412,10780,4408,-1563,1
2796,5784,-9932,8357,7709,-1251,1
1976,5584,-10368,5914,7979,-198,1
1268,5140,-10516,3294,7400,-571,1
224,4236,-10564,62,4259,-1376,1
1036,3468,-9848,-1801,486,-2209,1
3008,4368,-9804,-3344,-1222,-2791,1
3980,5468,-9848,-3730,-3041,-2489,1
4932,7292,-10152,-4364,-2869,-2162,1
4336,8876,-11144,-6655,-2185,-4016,1
4276,9248,-13500,-8287,-2148,-5300,1
2496,9988,-17644,-5772,-4335,-5930,1
1128,14436,-19488,-1548,-9170,-7441,1
6040,14920,-18460,-4592,-7456,-3327,1
6056,13232,-17084,-7492,587,-2878,1
1148,12256,-15144,-12558,1823,-6553,1
856,12096,-16276,-14756,-1649,-7775,1
3236,13884,-18468,-13514,1406,-5000,1
3188,14024,-16048,-10205,9349,-3152,1
-204,12676,-11032,-8429,11482,-3504,1
800,11372,-6284,-7475,11249,-4773,1
-1132,10128,-3400,-5194,7637,-4987,1
-2028,9300,-2524,-3642,2616,-5620,1
-2140,13100,-3432,-5277,-538,-7128,1
-988,15496,-5076,-8099,-3382,-8658,1
