ax,ay,az,gx,gy,gz,activity
196,15140,-5956,-1186,-1868,-1609,2
444,13100,-4828,-928,-2346,84,2
356,12960,-5460,-742,-4323,-760,2
1468,13808,-6608,-645,-4609,-1295,2
2064,14096,-7444,-940,-2646,-1432,2
784,13528,-7336,-1674,87,-2178,2
-1048,12728,-7396,-2083,962,-2917,2
-2228,12864,-8272,-1501,-65,-2728,2
-1936,13752,-8900,-548,-2414,-1579,2
-388,14108,-7700,-244,-2702,-765,2
1212,15316,-6312,-431,-2413,407,2
1400,14708,-5928,-1251,-1401,1020,2
1220,13476,-6208,-1727,-645,1080,2
312,12576,-7040,-1664,42,1327,2
-1020,12272,-7072,-1192,-729,1382,2
-768,12284,-6676,-379,-2385,1634,2
312,11860,-6224,106,-3655,2740,2
1540,11664,-5848,249,-3485,4129,2
1880,12600,-6520,1,-2140,4256,2
1024,13252,-6360,-1059,-967,4189,2
740,11296,-5948,-1413,-605,5261,2
-284,11504,-7164,-661,-1711,5565,2
-1140,12040,-7624,-413,-3253,5840,2
-956,12208,-6684,24,-4022,5887,2
-368,11700,-6460,224,-4849,5492,2
-176,11768,-6980,423,-5321,5106,2
132,11172,-6872,512,-6068,4427,2
144,10880,-7568,233,-6235,5167,2
88,11288,-9108,-241,-6055,4994,2
-524,10992,-10040,-532,-5228,4807,2
-400,9436,-10448,-693,-4247,5541,2
2724,10264,-10972,469,-2074,5639,2
1980,15716,-12880,2834,-1085,4710,2
1612,19528,-10952,5785,-2329,3565,2
9908,22184,-9328,8749,944,1706,2
736,23156,-5984,7825,-3667,2094,2
5568,17996,-5036,6335,-6145,3505,2
4972,18176,-9548,2146,-3942,1979,2
5548,15468,-11208,-1682,-811,3099,2
5828,14184,-9368,-3425,4067,2329,2
3916,14044,-7028,-3668,4991,953,2
3180,14896,-5408,-4192,1620,522,2
3972,14152,-5208,-5260,505,678,2
3312,13464,-6084,-5812,-137,745,2
2092,13804,-7148,-6124,423,-1278,2
1248,13512,-7948,-5309,558,-2675,2
2636,11816,-9452,-2366,-198,-2201,2
2984,11220,-9124,2371,-3792,1191,2
4296,10948,-8000,7887,-7018,5570,2
4844,12076,-7784,10109,-7821,6958,2
5732,14992,-7780,9376,-6092,4922,2
4788,14976,-6492,6236,-2566,2313,2
5028,13792,-6012,4894,-1389,1875,2
4072,11440,-7904,4094,-1827,718,2
2680,11208,-9220,3293,-3389,-224,2
2440,10856,-9512,1759,-3334,-421,2
3284,10168,-7696,-2,-3942,-898,2
3560,9256,-7352,-2167,-2265,-2188,2
2832,7904,-7424,-3796,361,-3976,2
2900,7352,-8556,-5196,3275,-5728,2
1312,6716,-8952,-5153,2962,-7171,2
2276,7612,-7784,-4768,3219,-8079,2
1896,9492,-8344,-3809,3068,-7121,2
2672,14492,-10456,-3140,3638,-6255,2
1376,13724,-7736,-2980,1554,-3428,2
2468,12376,-6488,-1186,-2252,78,2
2320,13288,-5972,-302,-5785,2425,2
3120,13164,-6856,-668,-6008,984,2
3368,13244,-9384,-1973,-5323,-2317,2
3436,13700,-10736,-2911,-3159,-2491,2
2044,12296,-8952,-2823,-3123,-502,2
3116,13280,-9680,-2097,-8403,1276,2
-412,18244,-12312,1711,-6402,-1201,2
-128,18216,-10904,3971,-5321,2107,2
-704,14016,-9932,4647,-7907,5689,2
3884,20452,-12992,4540,-3758,3687,2
724,20224,-9956,527,2892,8,2
428,15396,-7508,-1777,9568,-487,2
-4292,14444,-4884,-3047,8287,-3477,2
-6244,15128,-4168,-3655,931,-4301,2
-3188,15140,-5040,-2159,-6303,-2670,2
-880,13944,-5736,-1374,-7238,-1143,2
276,12800,-6908,-560,-7471,812,2
1420,13500,-8128,-40,-7379,498,2
1780,15112,-9160,-956,-3342,-729,2
-316,13984,-7992,-2255,-187,-930,2
-1984,13132,-7780,-2471,-32,-1181,2
-1856,13120,-7732,-1999,-2011,-2233,2
592,13888,-7916,-1967,-1509,-2137,2
728,13468,-7412,-1337,-606,-1148,2
324,13068,-6588,-918,-296,-510,2
232,13240,-5156,-376,-949,944,2
-608,12936,-4812,-246,-2767,2256,2
-756,12852,-6100,-129,-4408,2497,2
140,12744,-8088,172,-4624,2699,2
24,12180,-8068,252,-3670,3383,2
384,11768,-8036,347,-2392,3820,2
88,11164,-7968,731,-2015,3522,2
1024,11604,-7368,1988,-292,5290,2
-816,12184,-5384,2423,-94,4913,2
-872,13360,-4844,2328,-988,3722,2
-1052,13024,-5256,1474,-1915,3717,2
-744,13992,-6564,640,-3402,3160,2
-552,14776,-7912,-860,-4182,2082,2
-84,11828,-8504,-1244,-4118,2471,2
-544,10856,-10060,-526,-4133,3278,2
-516,12028,-11104,-210,-2972,2011,2
-152,11340,-11356,-480,-731,1198,2
228,10040,-9872,-471,1989,1975,2
856,11584,-8952,347,2726,2859,2
60,16112,-10916,2230,2524,2066,2
420,17124,-8324,5132,1494,2603,2
-388,23700,-9480,7736,-1378,2127,2
4116,17296,-6216,8627,-5579,5655,2
4508,18416,-9244,7636,-5859,5968,2
3828,15964,-11784,6057,-3805,4683,2
2692,14844,-9988,5148,-3794,2962,2
3200,12016,-7940,4712,-4740,2752,2
4280,12988,-8812,3684,-3194,-215,2
2952,11720,-8744,2750,-1079,-860,2
2320,11472,-8748,889,730,-469,2
2176,10496,-8968,-940,1764,-1254,2
1884,9932,-8956,-1995,1678,-2016,2
1932,9476,-7580,-3000,1816,-3297,2
1764,9948,-7432,-4337,1695,-5275,2
2124,9692,-7456,-5160,2230,-5941,2
2024,10472,-7984,-4976,2188,-5325,2
1932,13264,-8600,-4798,2431,-4941,2
1528,13564,-8948,-3731,840,-2472,2
2060,13548,-9148,-2484,-1159,310,2
2556,12660,-8460,-518,-2950,1937,2
2616,11784,-6968,277,-3347,2236,2
3252,11852,-6668,733,-2590,3652,2
3120,11084,-7824,103,-1092,4451,2
2664,10736,-8308,-666,788,3074,2
2028,10084,-7932,-1993,3036,1002,2
1416,9284,-7740,-3121,3431,-2348,2
1276,10432,-6476,-3211,1553,-5196,2
1384,10856,-4864,-2555,-1643,-4081,2
2036,12120,-5248,-1095,-4537,-1725,2
1912,13172,-6540,-1126,-6219,-1156,2
1316,13860,-8948,-842,-9907,674,2
3804,12404,-9348,-1186,-12116,4149,2
3600,18204,-13468,1064,-9745,4215,2
-2352,20760,-11048,3298,-9889,3362,2
976,14644,-9636,3377,-4985,5917,2
1624,15784,-13816,4328,-5745,4699,2
-2300,24712,-14160,776,-1982,2907,2
4104,14288,-8868,-548,4922,3028,2
-1268,15804,-7228,-3263,7818,-2806,2
-4184,15952,-6312,-3779,1726,-6353,2
-3456,14144,-6576,-2884,-4407,-3816,2
-676,13104,-6700,-1384,-6284,-139,2
-400,12836,-6208,-532,-7525,562,2
1340,13704,-6684,-224,-7506,504,2
2204,14684,-7608,-1302,-4891,-676,2
1116,13788,-7440,-3162,-1502,-1070,2
-1300,12332,-7912,-3276,-1346,-1482,2
-1888,12472,-8080,-2242,-3104,-2322,2
484,13016,-7712,-1910,-2043,-3028,2
1172,11980,-7520,-687,-1463,-328,2
988,11696,-7104,645,-1585,2361,2
220,12616,-6312,1418,-1813,3189,2
328,13756,-5288,1321,-2210,2990,2
924,12428,-3908,541,-2174,4414,2
544,12172,-5000,-661,-2394,5747,2
-196,11088,-5204,-2161,-3212,7060,2
-968,9352,-6260,-1693,-4098,6966,2
-2104,9632,-9356,306,-7544,5229,2
-128,13212,-11288,1949,-7590,3878,2
1268,12760,-10528,1914,-3159,4582,2
40,12020,-9004,1181,-256,3354,2
-656,9396,-7216,1193,960,3309,2
-100,10156,-7384,572,1111,4796,2
1312,10776,-7704,1075,871,5626,2
992,15168,-8884,4589,-1346,3932,2
1024,20588,-8320,6985,-5279,2976,2
1624,27680,-10668,9006,-6483,369,2
5588,19680,-7744,6219,-6804,1404,2
3840,15656,-14328,1717,-3242,1229,2
3784,11836,-15272,-31,716,1645,2
2900,13236,-11644,-547,3182,-118,2
2216,12592,-9040,-244,2463,-1865,2
1288,11344,-7652,2676,799,-2289,2
1160,10384,-9388,5431,-539,-295,2
3016,11816,-10428,7632,-2816,2487,2
5436,14512,-8892,6672,-538,2542,2
4644,13116,-6396,4171,1992,743,2
2432,12700,-6504,2262,928,-1459,2
2144,11136,-7280,188,-1274,-1996,2
1924,10964,-7348,-1524,-3063,-880,2
1764,10152,-7212,-2714,-4348,277,2
2436,9992,-7880,-3555,-4180,569,2
2332,9732,-8684,-4983,-2823,-1472,2
1576,8696,-10160,-5840,-1463,-2529,2
1640,7316,-8708,-5847,-257,-2684,2
2324,9736,-9408,-5374,409,-4001,2
1496,11892,-10304,-4142,1112,-3073,2
1560,10768,-8328,-2048,730,-410,2
1900,12364,-7452,-1465,589,962,2
400,12380,-7720,-1194,-2659,2866,2
2540,12484,-7396,-1895,-4615,4663,2
2448,12672,-7204,-3998,-3537,2776,2
1472,12236,-7956,-4791,-3945,-283,2
780,11408,-8576,-4310,-5144,-1897,2
1936,11368,-8472,-3156,-5623,-1527,2
3024,11456,-7844,-1126,-7921,82,2
3576,14052,-7320,-303,-9491,2523,2
3356,14056,-7052,-1964,-10248,4148,2
3104,18212,-12672,-479,-8132,1692,2
-2400,17304,-10436,1334,-6187,2112,2
384,14264,-12216,3937,-6748,2048,2
960,19156,-17560,8291,-3981,22,2
1540,19556,-12632,5613,1365,7459,2
1184,17688,-8448,3074,6461,4727,2
-144,16040,-4624,-1641,12624,-2694,2
-4408,16224,-3584,-4656,9154,-6744,2
-4668,14648,-2912,-4290,-3178,-4984,2
-1344,12548,-6420,-1898,-7289,-2144,2
-1360,12396,-8256,-614,-10444,1584,2
752,12260,-9076,1085,-13532,2281,2
4244,13580,-9068,1250,-10301,3105,2
5688,14660,-8632,-932,-758,1074,2
892,13376,-8368,-3557,4746,-2273,2
-2156,11908,-8596,-4189,4140,-3662,2
-3104,10772,-8760,-2578,597,-3015,2
-1728,11848,-8076,-593,-2809,-1423,2
632,12932,-7232,279,-3853,-504,2
1756,13644,-6952,471,-3619,883,2
2348,14424,-6992,115,-2566,1415,2
1592,14284,-7956,-846,-674,1023,2
448,13140,-7688,-1429,864,165,2
-356,12416,-6792,-1304,1299,491,2
-1032,12404,-6176,-1752,149,1328,2
-424,12732,-6612,-1948,-531,1400,2
416,12456,-6680,-1940,-230,1784,2
324,11524,-6024,-1415,508,3554,2
-44,11516,-5636,-1175,21,4036,2
-436,11196,-5796,-573,-1041,4105,2
-552,11472,-6504,750,-3244,3890,2
-100,12532,-6296,1437,-4641,3739,2
928,13792,-6048,996,-4757,3796,2
368,13988,-6920,33,-5092,3615,2
860,14124,-7972,-969,-4504,2867,2
364,12404,-7844,-2199,-3341,2607,2
-80,10668,-8892,-2361,-2937,3534,2
-1060,10720,-9848,-2252,-2551,3803,2
-1064,10016,-10780,-2108,-1445,3385,2
-780,9124,-10668,-1889,30,3249,2
1040,9084,-10744,-845,1141,3692,2
2432,13068,-11712,2008,1655,3473,2
-72,18988,-12756,5454,369,1970,2
636,20828,-7900,6993,-1016,2437,2
4364,22360,-7536,9834,-482,3038,2
456,25340,-5500,8965,-2000,1995,2
4364,17772,-2744,7897,-4201,3708,2
4464,16252,-5720,6316,-5210,2567,2
2388,15484,-9328,5329,-7302,2353,2
2348,13420,-10480,6076,-9143,2200,2
3864,12748,-10168,6002,-9777,2456,2
4248,12392,-8492,5943,-9529,1477,2
5596,12812,-8540,5129,-5929,425,2
4916,13068,-9500,3262,-930,-1241,2
2572,12116,-10208,1654,2535,-2311,2
1256,12280,-10648,1509,2221,-1994,2
1484,11864,-10588,1741,1525,-363,2
1476,11376,-9980,1401,437,11,2
2224,10288,-8316,362,139,-293,2
2720,10300,-7388,-668,681,-875,2
2144,10532,-6732,-2460,1025,-2462,2
904,9752,-6712,-4186,295,-3563,2
1068,10416,-7912,-5712,143,-4160,2
1400,11524,-9240,-7374,1187,-5490,2
1216,10864,-9740,-7529,1860,-5332,2
1608,10212,-9384,-6127,1635,-3668,2
1976,11140,-9624,-4633,2196,-389,2
724,12496,-9184,-3043,-2425,-355,2
1660,13944,-8796,-2211,-2746,941,2
704,12212,-8076,-2060,-2904,1114,2
760,11884,-8856,-874,-4007,1055,2
2048,11720,-9368,-246,-3765,2165,2
2920,10372,-9632,534,-3432,4586,2
3316,9776,-9556,495,-2027,5250,2
3560,10180,-9784,-916,1059,3180,2
2824,10276,-9832,-2549,4404,-192,2
1372,9376,-7964,-3285,6133,-2501,2
496,8808,-5220,-3104,5782,-3521,2
-404,10420,-3972,-2873,3555,-3847,2
-24,12676,-4324,-3244,-295,-4730,2
1768,14056,-4332,-3299,-3960,-3679,2
2656,14972,-5188,-3493,-6958,-1280,2
2836,14220,-6908,-2693,-8418,523,2
2588,12216,-7568,-2041,-10400,1812,2
4404,11076,-7956,-663,-13056,4561,2
4108,17036,-12668,1535,-10131,4562,2
-1604,19612,-12652,3889,-8586,1550,2
-184,19312,-14144,6709,-9793,2511,2
1368,21988,-18948,13659,-5554,6391,2
1600,18904,-9892,5472,238,15385,2
376,13120,-7284,2120,4121,9417,2
1184,14756,-8924,1021,2196,1933,2
3944,15284,-11088,-1909,8413,-3972,2
-1752,17092,-8272,-4705,11165,-10858,2
-5352,18024,-7752,-4781,7636,-11242,2
-2552,15964,-6728,-2256,594,-4966,2
-2516,13656,-5396,-884,-2573,-224,2
-524,12636,-5404,-795,-6230,705,2
-68,14068,-6388,233,-8525,761,2
2484,15648,-4356,-71,-10090,599,2
6204,15008,-4676,-2111,-6293,1250,2
2996,13796,-6732,-3594,-1596,890,2
-688,12232,-7896,-5455,28,-1867,2
-3032,10308,-9168,-5365,-657,-2914,2
-3396,8044,-8672,-2666,-5046,-591,2
-104,8768,-7604,402,-9124,2687,2
3324,10836,-6316,1809,-9200,4074,2
4060,12464,-5508,2042,-5959,4558,2
2768,12696,-5708,2100,-4688,6098,2
2392,12596,-7008,2711,-2263,6023,2
-1544,14012,-7572,1289,-2388,4314,2
-1184,12392,-6092,52,-2014,5666,2
-2132,13232,-5548,-2428,-3390,5567,2
-2476,12408,-6624,-3898,-5843,4333,2
-1620,9380,-9060,-3373,-7996,3529,2
-76,9264,-11240,-1688,-7799,4247,2
604,8764,-11452,-352,-5478,5083,2
544,8144,-10636,294,-1849,6032,2
2000,8408,-9312,1396,213,6687,2
3328,13508,-9412,3661,1533,6993,2
-420,23076,-13216,4890,664,2572,2
608,24264,-8700,4068,17,-708,2
692,22724,-6808,2998,3835,-1523,2
1508,17624,-5696,1333,-73,-771,2
4400,16784,-8508,-214,-2754,-738,2
3988,17312,-12876,-595,-2104,742,2
3888,14508,-10468,263,-1995,2649,2
4588,13784,-6768,1803,-1429,3543,2
3148,14380,-6892,2755,-2453,3553,2
2608,16112,-6584,2052,-2840,1837,2
3580,14492,-5620,-9,-1771,695,2
2760,11944,-6168,-1471,-395,-13,2
2280,11248,-9152,-726,-673,-281,2
1540,11136,-10636,1600,-1272,-487,2
1872,11676,-9956,5040,-3589,330,2
2824,12668,-8484,7142,-5125,760,2
4028,13052,-8008,7618,-5309,772,2
4880,13532,-8088,7334,-3017,365,2
3988,14192,-8236,6601,-2130,412,2
3504,14312,-8336,5827,-2137,1263,2
3076,12544,-9036,5444,-2802,2893,2
2736,11736,-9992,5055,-3339,3247,2
2056,10564,-9768,4433,-4115,3342,2
2508,10416,-9412,3026,-3674,3839,2
2824,10320,-9304,784,-1724,3191,2
2756,10472,-9124,-1095,105,2523,2
2936,10296,-8688,-2763,1258,1088,2
1980,9360,-8672,-4571,2674,-1,2
960,7772,-8536,-5887,3503,-2336,2
312,6620,-8548,-7075,3216,-4536,2
1636,7268,-8552,-7878,3465,-5493,2
2920,7108,-8380,-7281,3718,-6698,2
2884,8564,-8368,-5324,3378,-5742,2
2724,11932,-8492,-4426,1187,-5304,2
2532,12588,-8036,-3380,870,-3719,2
3088,12896,-7644,-2801,-56,-1480,2
3788,12452,-7912,-2137,-323,354,2
3304,12040,-7160,-1424,-2454,2884,2
3664,12252,-6428,-1185,-3990,4444,2
3640,12824,-6260,-2719,-4105,1909,2
3868,12120,-7992,-4915,-3933,-1426,2
3404,12128,-8468,-5630,-3093,-3162,2
2212,10900,-7664,-3704,-3757,-2973,2
1956,11068,-6984,-1966,-6910,-1544,2
2736,11984,-5844,-1859,-8985,239,2
4092,11864,-6620,-2506,-11783,982,2
3588,16372,-13368,-1160,-10536,-1071,2
-2996,20368,-15844,3971,-7773,-5778,2
-2616,22440,-16748,6591,-14675,695,2
4736,23820,-19852,12603,-7232,5700,2
2632,19392,-6948,5450,1800,11646,2
-176,15020,-3184,2351,4276,8019,2
3016,15740,-7828,-932,3967,968,2
-2288,15524,-7200,-4627,11991,-6710,2
-7392,16144,-4932,-6198,9288,-9771,2
-6576,15280,-4124,-4542,4221,-8311,2
-2160,16556,-4128,-2993,-2543,-5064,2
-2760,14772,-2612,-1937,-6308,-1156,2
-2828,13116,-3688,-1235,-11821,586,2
220,12940,-7416,62,-16086,3010,2
2096,14144,-9936,-30,-15360,4096,2
4760,13756,-10152,-949,-8926,3750,2
2812,13328,-10076,-2215,684,114,2
-2192,11904,-9456,-2791,3902,-3506,2
-4176,11020,-9088,-2191,2170,-4141,2
-3556,10572,-7776,-630,-2102,-2062,2
-4,12504,-7248,712,-4330,-130,2
1456,14596,-6620,264,-3309,723,2
968,14460,-6384,-696,-1477,1013,2
440,14432,-7128,-906,-1835,108,2
296,14112,-7532,-1088,-1438,-217,2
-108,13092,-7588,-1536,-329,508,2
-1016,12220,-6676,-1183,290,1054,2
-1104,11892,-5712,-540,-293,2065,2
-980,12308,-5384,-6,-1029,3451,2
-880,12592,-5292,209,-1904,4512,2
-292,12284,-4680,282,-2451,5397,2
-188,13420,-5068,176,-2205,5792,2
-1220,12336,-5308,-157,-3093,5369,2
-1044,12316,-5676,128,-3927,5110,2
-852,12724,-6384,-163,-4967,3265,2
-132,12888,-7240,-411,-4981,2670,2
-196,12748,-8388,-231,-4697,2874,2
-84,12528,-9404,-67,-4395,3011,2
-4,12208,-9824,423,-4419,3256,2
480,11604,-9060,763,-3427,4060,2
344,11388,-8764,91,-2014,4354,2
-396,10632,-8448,-525,-196,3442,2
-448,9668,-8036,-1135,1358,3184,2
148,9332,-8408,-1121,2342,3254,2
572,11952,-9888,1039,1670,3494,2
-1240,16960,-13160,4541,42,2185,2
3216,22600,-15252,9082,-2550,1812,2
700,20992,-6168,10599,967,4822,2
2420,15600,-2048,10788,-5050,3827,2
3428,19776,-8512,6262,-6530,2647,2
2380,16752,-13264,3986,-6452,1524,2
3196,14924,-11656,3581,-5678,-76,2
2644,12772,-9816,3864,-4122,-310,2
3500,12640,-8612,3400,-1162,-1259,2
2220,11948,-7536,2522,-1093,-289,2
1976,12180,-8104,1614,-547,426,2
1372,11556,-9180,371,646,-653,2
1124,10744,-9304,-482,-154,-952,2
2112,10684,-8952,-1825,-108,-1182,2
1800,10148,-8420,-3089,426,-2012,2
628,8552,-7656,-4163,780,-2483,2
808,8824,-7640,-4600,717,-2138,2
1164,11628,-8480,-5000,-4,-2273,2
1856,13544,-10296,-5237,-573,-1102,2
1128,11728,-10692,-4050,-298,-680,2
2056,10280,-8944,-3116,-265,1078,2
2136,10900,-8176,-2408,-1222,2044,2
1924,11092,-8596,-1801,-2186,2461,2
2908,9152,-7428,-945,-308,4138,2
2168,8632,-6360,-1340,1578,3561,2
1224,9488,-6888,-2290,1716,-272,2
676,10168,-6528,-3558,-309,-2990,2
2628,10792,-4608,-4778,-1277,-2185,2
2236,13776,-5256,-4927,-3548,-3318,2
1460,13768,-5604,-3336,-6583,-3045,2
2204,12668,-6172,-2649,-10448,798,2
5240,17632,-13996,139,-9488,-919,2
-6016,22272,-13960,2886,-9447,-764,2
-948,21792,-18040,7928,-16692,4369,2
2484,24936,-16932,10761,-2464,8752,2
2848,16124,-6200,3764,6325,10990,2
104,15392,-8088,862,4341,3762,2
-1856,15020,-6800,-2514,8555,-4610,2
-4644,15844,-3168,-5219,6352,-9984,2
-3140,14332,-2940,-4647,231,-8531,2
-1572,15012,-4472,-3555,-3626,-2401,2
-2556,13224,-5996,-2205,-10901,881,2
1064,13236,-9464,-131,-14090,3139,2
5044,14408,-8796,-1221,-6753,2729,2
2520,13544,-8692,-3032,3293,-366,2
-1572,11472,-8588,-2976,4771,-2844,2
-3960,10556,-8108,-1420,575,-1975,2
-1768,12420,-6704,498,-4146,-217,2
868,14496,-5984,673,-3852,782,2
3056,12896,-4552,491,-944,3570,2
2640,12356,-4608,543,-477,4437,2
1556,12120,-4844,283,47,3635,2
40,11892,-5024,302,-1354,5480,2
-632,12424,-4900,-126,-3580,7995,2
-876,13936,-6036,-2370,-5128,7115,2
-704,11968,-6408,-3427,-6300,5462,2
-296,9700,-9308,-2755,-5443,3396,2
-1020,8376,-10936,-1745,-4354,2052,2
-124,6916,-10288,424,-2316,4135,2
1864,9668,-9004,1637,-827,6777,2
2860,17848,-12044,3605,157,5691,2
936,23148,-10532,6072,1115,516,2
788,23676,-5088,6413,2504,2524,2
1236,22316,-4676,5458,-8980,2159,2
3384,17632,-9660,3870,-9929,2830,2
2644,14384,-11080,4012,-7227,3992,2
2208,13404,-8908,6411,-7454,3956,2
3384,12720,-6524,7420,-9723,1809,2
3636,12620,-6628,6242,-9292,1599,2
4040,12068,-9400,3301,-5174,-249,2
2620,12800,-12464,2125,-1587,-316,2
2396,12480,-12796,3045,138,266,2
3068,12352,-10636,3478,786,1760,2
3400,12044,-8008,2506,1634,1398,2
2280,10728,-6808,898,484,1152,2
1592,10324,-6952,-295,-1645,1293,2
1340,9696,-7916,-1620,-1972,866,2
1120,9744,-8380,-3065,-1874,-191,2
1464,9428,-9372,-4738,-572,-1963,2
1948,8868,-9324,-6047,411,-2490,2
3476,10696,-9196,-7179,2512,-1455,2
3540,8208,-7740,-7223,4924,-1313,2
2972,7368,-6264,-4440,5073,296,2
3104,10328,-4816,-4746,4355,-703,2
2636,10416,-5816,-5622,3790,-1826,2
3184,11172,-8732,-4410,2290,-4948,2
2564,11880,-8592,-2663,-1875,-3167,2
3848,10832,-6820,-1001,-5474,1337,2
4004,10940,-6480,-1236,-6119,659,2
4792,9640,-6188,-1596,-7181,-1206,2
3156,17624,-11880,104,-2964,-4773,2
-2728,22828,-17456,5433,-2311,-13591,2
-5160,32767,-23972,13898,-555,-1938,2
5524,15408,-8964,4938,7372,18656,2
-2456,15316,-7636,3604,-2490,7099,2
3524,24464,-6920,-6879,13343,-10355,2
-8020,13064,-1220,-6483,8170,-13223,2
-6324,14912,-2792,-6394,1948,-9235,2
-3528,13988,-5152,-4345,-4882,-7069,2
-5824,11072,-6916,-4052,-13459,-2529,2
-948,9604,-12032,2019,-23742,4795,2
7804,15540,-8440,1297,-13748,5091,2
6004,14872,-7308,-1450,-207,2737,2
-464,12692,-9128,-3237,4971,-2805,2
-3976,11232,-9568,-4005,5581,-4728,2
-5776,8880,-7724,-2110,-638,-3778,2
-2356,11324,-8660,402,-7226,-1965,2
3748,15100,-8400,2222,-4567,959,2
2988,15244,-6228,1367,-389,2177,2
268,14852,-5980,-778,1727,1352,2
-2432,13672,-4848,-3193,2608,948,2
-2468,11180,-3044,-3497,519,2911,2
-1584,10004,-2640,-3523,-2280,3927,2
-1672,10148,-5576,-2270,-5470,4264,2
-1212,11032,-7492,618,-8728,4322,2
276,10004,-7648,2224,-7185,4811,2
-428,11692,-9148,1889,-4959,4029,2
-832,10220,-8096,550,-3025,2666,2
112,9032,-7080,-25,-21,4858,2
-116,7996,-6380,-416,632,6240,2
2740,13280,-9264,1659,712,6830,2
-3404,25992,-15784,4959,-757,2157,2
2880,22572,-9568,8219,3011,4355,2
-240,19760,-4440,7101,778,3486,2
1292,21888,-5848,4977,-6020,2710,2
2792,18096,-9048,3491,-5828,4316,2
2300,16628,-8816,3703,-5174,3225,2
772,15716,-8016,4334,-7119,1599,2
2292,13520,-7836,5201,-9220,1761,2
3536,12816,-7936,4552,-8865,1374,2
3704,14004,-9472,2848,-4328,874,2
2612,13060,-10240,1673,-195,-34,2
1756,12212,-9912,1746,132,-8,2
3116,11292,-9052,1910,1413,1592,2
2156,10776,-8472,344,1484,1768,2
2008,10272,-7524,-1344,1628,1546,2
1196,10188,-6568,-2372,1385,616,2
244,9580,-5780,-4352,179,-1322,2
1468,9364,-6360,-5341,-246,-1722,2
2120,10192,-6936,-5824,-726,-2551,2
3020,10712,-7128,-6154,-734,-1536,2
2456,9892,-6468,-5967,-1195,-355,2
3684,10380,-6976,-5679,124,-836,2
2704,8284,-6696,-4819,-133,-1227,2
3380,7048,-7280,-2852,-411,-1396,2
3188,7680,-6812,-1496,221,-1464,2
2604,7884,-5980,-795,-399,-338,2
2096,7412,-5404,-285,-2953,-1006,2
4276,8024,-7084,2647,-4874,-1660,2
-144,22260,-11668,3317,-4358,-8124,2
-5000,32767,-18128,11156,-2282,-9125,2
628,19324,-13788,5602,-98,2054,2
-5640,14688,-7336,4853,-8476,14308,2
8588,26520,-13312,-2257,3517,4691,2
-2824,19860,-5480,-6947,11850,-6232,2
-9004,17308,-3924,-6623,7170,-9196,2
-4564,16396,-6048,-7342,2293,-9968,2
-5248,14300,-8416,-6022,-6146,-7422,2
-4576,12588,-12692,-843,-21016,-2270,2
-904,15680,-1508,-76,-1036,-335,2
-924,15636,-1436,30,-1164,-482,2
-784,15960,-1336,129,-1083,-1484,2
-1100,16044,-1512,2,-1039,-569,2
-1460,15776,-1056,533,-1232,-608,2
-1032,16108,-536,849,-843,-710,2
-976,16312,-368,742,351,-849,2
-1224,15952,-448,663,1488,-929,2
-1560,16432,-588,586,1698,-939,2
-1548,16656,-648,239,1558,-933,2
-1860,16904,-888,-155,1718,-1261,2
-1752,16964,-796,-533,2125,-2168,2
-2700,17260,-676,-1682,1938,-2650,2
-3816,17300,-996,-3206,1039,-3478,2
-3308,16004,-1088,-4800,38,-5072,2
-4204,15552,-1412,-5193,108,-5222,2
-4312,15116,-1876,-5018,293,-5287,2
-2324,14968,-2296,-3330,476,-5176,2
-756,15276,-1244,-1688,2188,-2964,2
-1076,15452,656,-1630,4094,295,2
-1700,15252,1728,-2472,5538,1466,2
-1984,15116,2144,-3234,7502,1096,2
-2580,15896,1784,-3477,9081,-418,2
-3664,16528,156,-3465,9685,-2267,2
-4700,15884,-1228,-3442,8876,-2613,2
-5604,14972,-2440,-3395,6994,-1889,2
-5408,13856,-2416,-2562,5367,-878,2
-4768,14016,-1576,-1705,4280,-350,2
-4280,14616,-20,-1202,3944,-184,2
-4580,14908,748,-875,4274,-176,2
-4884,14776,640,-406,4898,-445,2
-5196,13948,432,213,5033,-648,2
-5104,13672,-136,708,3873,-360,2
-5572,15300,-1236,1321,2052,-194,2
-4832,21468,-2904,2390,819,649,2
-1300,23776,-2404,1079,774,1270,2
-712,17156,500,-142,1670,420,2
-616,13344,48,508,3165,-693,2
-1516,13580,-1448,777,2820,501,2
344,14444,-1644,1882,3897,2364,2
180,16032,-1624,2032,3599,4575,2
1336,16584,-1168,1842,3378,4399,2
1100,15316,-1284,1885,4404,4024,2
504,15024,-2036,1882,3450,2467,2
-248,15048,-2520,2447,2736,3333,2
-156,15752,-2620,2531,2458,3633,2
-452,16352,-1760,2434,2493,4038,2
-948,17432,168,1763,376,4331,2
760,17992,2108,854,1803,4468,2
648,17392,2100,-166,4755,3009,2
580,15704,812,-359,5946,1142,2
576,15260,-200,-206,5765,921,2
220,14536,-1388,-14,3886,2167,2
796,15144,-2904,425,2325,4297,2
988,15216,-3296,1121,2340,4848,2
-156,15360,-3040,2229,4233,3946,2
-1368,15608,-1824,2597,3929,3163,2
-1332,15128,-1616,2698,1437,2535,2
464,15568,-428,2823,-202,2200,2
1552,16520,920,2501,-169,2275,2
